,tfidf
개편에,0.0
개편안을,0.0
개편안은,0.0
개편,0.0
개정해,0.0
개정안에,0.0
개정안,0.0
같은,0.0
갖춘,0.0
강남,0.0
가진,0.0
com,0.0
가업,0.0
가액,0.0
가능성도,0.0
가구가,0.0
가격에,0.0
가격,0.0
rights,0.0
reserved,0.0
ramblas,0.0
herstory,0.0
donga,0.0
copyright,0.0
낮추기로,0.0
내용을,0.0
세금을,0.0
받는,0.0
부동산,0.0
부담하는,0.0
부담이,0.0
부담을,0.0
부담은,0.0
부담,0.0
부는,0.0
부과하는,0.0
부과,0.0
보유자에게,0.0
보유자는,0.0
보유자,0.0
보유세,0.0
보고,0.0
별도로,0.0
법인세,0.0
법을,0.0
방침이다,0.0
방침,0.0
방안을,0.0
방안,0.0
방식이다,0.0
밝혔다,0.0
발표할,0.0
발표한다,0.0
발표한,0.0
발표하는,0.0
부세의,0.0
부추겨,0.0
분석도,0.0
상승으로,0.0
세금,0.0
선정하며,0.0
선임연구위원은,0.0
선을,0.0
서울에,0.0
서민층의,0.0
생겼다,0.0
100,0.0
상향할,0.0
상향하는,0.0
상한이,0.0
상한을,0.0
상속인에,0.0
불러왔다는,0.0
상속세,0.0
상속,0.0
상대적으로,0.0
상관없이,0.0
사후,0.0
사진은,0.0
사례가,0.0
사람이,0.0
사람보다,0.0
비조정대상지역,0.0
비율을,0.0
비슷한,0.0
받을,0.0
반발이,0.0
네이버에서,0.0
밖에,0.0
도입한,0.0
더욱,0.0
더불어,0.0
대해,0.0
대한,0.0
대책으로,0.0
대신,0.0
대상을,0.0
대상,0.0
대비,0.0
대로,0.0
대기업과,0.0
당초,0.0
담은,0.0
담는,0.0
달리,0.0
다주택자의,0.0
다주택자에게,0.0
다주택자,0.0
다수,0.0
다만,0.0
다르게,0.0
다닌,0.0
늘었다는,0.0
늘릴,0.0
늘리고,0.0
높은,0.0
도입해,0.0
돌려,0.0
동아,0.0
매겨,0.0
박희,0.0
민주당은,0.0
미만이어야,0.0
미만으로,0.0
물가,0.0
문재인,0.0
무단,0.0
못할,0.0
목적인,0.0
모든,0.0
매출액,0.0
매기는,0.0
말했다,0.0
되는,0.0
많아,0.0
막기,0.0
마련하고,0.0
링크,0.0
똘똘한,0.0
떼는,0.0
따져,0.0
따른,0.0
따르면,0.0
따라,0.0
등을,0.0
등도,0.0
회사를,0.0
